FY,Park,Park Type,Park Score,PSA,Supervisor District
2023,10th Ave & Clement Mini Park,Mini Park,0.899,PSA1,1
2023,24th & York Mini Park,Mini Park,0.874,PSA6,9
2023,Adam Rodgers Park,Neighborhood Park or Playground,0.863,PSA3,10
2023,Alamo Square,Neighborhood Park or Playground,0.796,PSA2,5
2023,Alice Chalmers Playground,Neighborhood Park or Playground,0.91,PSA3,11
2023,Alice Marble Tennis Courts,Neighborhood Park or Playground,0.879,PSA1,3
2023,Alioto Mini Park,Mini Park,0.908,PSA6,9
2023,Allyne Park,Neighborhood Park or Playground,0.822,PSA1,2
2023,Alta Plaza Park,Neighborhood Park or Playground,0.88,PSA1,2
2023,Angelo J. Rossi Playground,Neighborhood Park or Playground,0.854,PSA1,1
2023,Aptos Playground,Neighborhood Park or Playground,0.904,PSA4,7
2023,Argonne Playground,Neighborhood Park or Playground,0.946,PSA1,1
2023,Balboa Park,Neighborhood Park or Playground,0.93,PSA5,11
2023,Bayview K.C. Jones Playground,Neighborhood Park or Playground,0.958,PSA3,10
2023,Beideman & O'Farrell Mini Park,Mini Park,0.928,PSA2,5
2023,Bernal Heights Rec Center,Neighborhood Park or Playground,0.873,PSA6,9
2023,Betty Ann Ong Chinese Rec Center,Neighborhood Park or Playground,0.972,PSA1,3
2023,Broadway Tunnel West Mini Park,Mini Park,0.965,PSA1,3
2023,Brooks Park,Neighborhood Park or Playground,0.927,PSA4,11
2023,Buchanan Street Mall,Neighborhood Park or Playground,0.873,PSA2,5
2023,Buena Vista Park,Regional Park,0.888,PSA5,8
2023,Bush & Broderick Mini Park,Mini Park,0.901,PSA2,2
2023,Cabrillo Playground,Neighborhood Park or Playground,0.902,PSA1,1
2023,Carl Larsen Park,Neighborhood Park or Playground,0.834,PSA4,4
2023,Cayuga & Lamartine Mini Park,Mini Park,0.875,PSA5,11
2023,Cayuga Playground,Neighborhood Park or Playground,0.917,PSA3,11
2023,Coleridge Mini Park,Mini Park,0.95,PSA6,9
2023,Collis P. Huntington Park,Civic Plaza or Square,0.935,PSA1,3
2023,Corona Heights Park,Neighborhood Park or Playground,0.899,PSA5,8
2023,Coso & Precita Mini Park,Mini Park,0.89,PSA6,9
2023,Cottage Row Mini Park,Mini Park,0.861,PSA2,5
2023,Cow Hollow Playground,Neighborhood Park or Playground,0.944,PSA1,2
2023,Crocker Amazon Playground,Neighborhood Park or Playground,0.884,PSA3,11
2023,Douglass Playground,Neighborhood Park or Playground,0.895,PSA5,8
2023,Duboce Park,Neighborhood Park or Playground,0.896,PSA6,8
2023,DuPont Tennis Courts,Neighborhood Park or Playground,0.989,PSA1,1
2023,Embarcadero Plaza,Civic Plaza or Square,0.937,PSA1,3
2023,Esprit Park,Neighborhood Park or Playground,0.941,PSA2,10
2023,Eugene Friend Rec Center,Neighborhood Park or Playground,0.792,PSA2,6
2023,Eureka Valley Rec Center,Neighborhood Park or Playground,0.959,PSA5,8
2023,Excelsior Playground,Neighborhood Park or Playground,0.909,PSA3,11
2023,Fallen Bridge Mini Park,Mini Park,0.874,PSA2,10
2023,Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,0.968,PSA2,5
2023,Fay Park,Neighborhood Park or Playground,0.982,PSA1,3
2023,Francisco Park,Neighborhood Park or Playground,0.983,PSA1,2
2023,Franklin Square,Neighborhood Park or Playground,0.706,PSA2,9
2023,Fulton Playground,Neighborhood Park or Playground,0.964,PSA1,1
2023,Garfield Square,Neighborhood Park or Playground,0.954,PSA6,9
2023,George Christopher Playground,Neighborhood Park or Playground,0.898,PSA5,8
2023,Gilman Playground,Neighborhood Park or Playground,0.875,PSA3,10
2023,Glen Canyon Park,Regional Park,0.912,PSA5,8
2023,Golden Gate & Steiner Mini Park,Mini Park,0.927,PSA2,5
2023,Golden Gate Heights Park,Neighborhood Park or Playground,0.923,PSA4,7
2023,Golden Gate Park,Regional Park,0.905,GGP,1
2023,Grattan Playground,Neighborhood Park or Playground,0.944,PSA2,8
2023,Hamilton Rec Center,Neighborhood Park or Playground,0.91,PSA2,5
2023,Hayes Valley Playground,Neighborhood Park or Playground,0.993,PSA2,5
2023,Head & Brotherood Mini Park,Mini Park,0.897,PSA4,11
2023,Helen Wills Playground,Neighborhood Park or Playground,0.908,PSA1,3
2023,Herz Playground,Neighborhood Park or Playground,0.888,PSA3,10
2023,Hilltop Park,Neighborhood Park or Playground,0.926,PSA3,10
2023,Holly Park,Neighborhood Park or Playground,0.877,PSA6,9
